codigoNacional;idEquipo;idPista;momento;ddInst;ffInst;dd02Minutos;ff02Minutos;dd10Minutos;ff10Minutos;dd02MinutosMin;ff02MinutosMin;dd02MinutosMax;ff02MinutosMax;dd10MinutosMin;ff10MinutosMin;dd10MinutosMax;ff10MinutosMax;dd01Minutos;ff01Minutos;dd01MinutosMin;ff01MinutosMin;dd01MinutosMax;ff01MinutosMax;momentoRegistro;dd15m;ffMax15m;ffMed15m;dn02Min;dx02Min;dn10Min;dx10Min;dd02Mts;ff02Mts
360011;0;;2023-01-01 00:00:00;9.0;5.6;12.0;3.4;11.0;6.8;360.0;5.0;19.0;7.8;349.0;4.9;32.0;8.4;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:02:00;9.0;6.8;12.0;3.8;13.0;7.0;3.0;5.8;19.0;8.9;358.0;4.9;32.0;8.9;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:03:00;11.0;7.4;11.0;3.6;12.0;7.0;3.0;6.0;21.0;8.0;358.0;4.9;32.0;8.9;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:04:00;15.0;7.0;13.0;3.7;12.0;6.9;5.0;6.0;21.0;8.8;358.0;4.9;32.0;8.9;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:05:00;12.0;7.2;13.0;4.0;12.0;7.1;6.0;6.0;24.0;9.3;360.0;5.0;24.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:06:00;21.0;8.2;13.0;3.9;12.0;7.1;6.0;6.4;24.0;9.3;360.0;5.0;24.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:07:00;18.0;6.2;16.0;3.5;13.0;7.1;357.0;5.4;25.0;8.2;357.0;5.0;25.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:09:00;14.0;6.0;14.0;3.2;13.0;7.0;6.0;5.2;21.0;7.4;357.0;5.0;25.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:11:00;24.0;6.0;14.0;3.3;14.0;6.9;7.0;5.4;24.0;8.0;357.0;5.2;25.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
360011;0;;2023-01-01 00:12:00;12.0;7.8;13.0;3.2;14.0;6.8;5.0;5.0;24.0;8.0;357.0;5.0;25.0;9.3;;;;;;;2023-01-01 00:20:21;;;;;;;;;
